,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,0,0,09-16-2024,"Ocean Power Technologies, Inc. Announces First Quarter Fiscal 2025 Results",https://www.globenewswire.com/news-release/2024/09/16/2947055/9069/en/Ocean-Power-Technologies-Inc-Announces-First-Quarter-Fiscal-2025-Results.html,GlobeNewswire Inc.,neutral,0.8811680674552917,0.0410774424672126,0.8811680674552917,0.0777545347809791,-0.0366770923137665,0.50508656965103,0.752543284825515
1,1,1,1,07-04-2024,"12 Industrials Stocks Moving In Thursday's Pre-Market Session - Aqua Metals (NASDAQ:AQMS), Art's-Way ... - Benzinga",https://www.benzinga.com/insights/movers/24/07/39634297/12-industrials-stocks-moving-in-thursdays-pre-market-session,Benzinga,neutral,0.48539599776268,0.4815686345100403,0.48539599776268,0.0330352745950222,0.4485333599150181,0.50508656965103,0.752543284825515
2,2,2,2,06-27-2024,What's Going On With Ocean Power Technologies Stock After Hours?,https://www.benzinga.com/news/24/06/39538343/whats-going-on-with-ocean-power-technologies-stock-after-hours,Benzinga,neutral,0.6776605844497681,0.0258986726403236,0.6776605844497681,0.2964407503604889,-0.2705420777201653,0.50508656965103,0.752543284825515
3,3,3,3,06-27-2024,Ocean Power Technologies Signs OEM Agreement with Key Maritime Technology Provider Teledyne Marine,https://www.globenewswire.com/news-release/2024/06/27/2905577/9069/en/Ocean-Power-Technologies-Signs-OEM-Agreement-with-Key-Maritime-Technology-Provider-Teledyne-Marine.html,GlobeNewswire Inc.,positive,0.939242422580719,0.939242422580719,0.0456212423741817,0.015136307105422,0.924106115475297,0.50508656965103,0.752543284825515
4,4,4,4,06-17-2024,Ocean Power Technologies Launches Global 24/7 Service Support Offering,https://www.globenewswire.com/news-release/2024/06/17/2899589/9069/en/Ocean-Power-Technologies-Launches-Global-24-7-Service-Support-Offering.html,GlobeNewswire Inc.,neutral,0.693503201007843,0.296958327293396,0.693503201007843,0.0095384204760193,0.2874199068173767,0.50508656965103,0.752543284825515
5,5,5,5,06-05-2024,Ocean Power Technologies Awarded Contract for Immediate Delivery of Unmanned Surface Vehicle to Offshore Construction Contractor,https://www.globenewswire.com/news-release/2024/06/05/2893763/9069/en/Ocean-Power-Technologies-Awarded-Contract-for-Immediate-Delivery-of-Unmanned-Surface-Vehicle-to-Offshore-Construction-Contractor.html,GlobeNewswire Inc.,positive,0.930494785308838,0.930494785308838,0.0587039440870285,0.0108013004064559,0.9196934849023821,0.50508656965103,0.752543284825515
6,6,6,6,05-13-2024,Ocean Power Technologies Announces Renewable Energy Production Milestone,https://www.globenewswire.com/news-release/2024/05/13/2880425/9069/en/Ocean-Power-Technologies-Announces-Renewable-Energy-Production-Milestone.html,GlobeNewswire Inc.,neutral,0.8928830623626709,0.0974846929311752,0.8928830623626709,0.0096322037279605,0.0878524892032147,0.50508656965103,0.752543284825515
7,7,7,7,05-06-2024,Ocean Power Technologies Successfully Demonstrates Advanced AI Solutions in the North Atlantic,https://www.globenewswire.com/news-release/2024/05/06/2875804/9069/en/Ocean-Power-Technologies-Successfully-Demonstrates-Advanced-AI-Solutions-in-the-North-Atlantic.html,GlobeNewswire Inc.,positive,0.9358698129653932,0.9358698129653932,0.0548619627952575,0.0092682084068655,0.9266016045585277,0.50508656965103,0.752543284825515
8,8,8,8,04-30-2024,Ocean Power Technologies Awarded Multi-Year NOAA ProTech Oceans IDIQ Contract,https://www.globenewswire.com/news-release/2024/04/30/2872227/9069/en/Ocean-Power-Technologies-Awarded-Multi-Year-NOAA-ProTech-Oceans-IDIQ-Contract.html,GlobeNewswire Inc.,positive,0.9288964867591858,0.9288964867591858,0.059235505759716,0.0118680046871304,0.9170284820720553,0.50508656965103,0.752543284825515
9,9,9,9,04-17-2024,Ocean Power Technologies Announces Participation in NATO Digital Ocean Industry Symposium,https://www.globenewswire.com/news-release/2024/04/17/2864513/9069/en/Ocean-Power-Technologies-Announces-Participation-in-NATO-Digital-Ocean-Industry-Symposium.html,GlobeNewswire Inc.,neutral,0.6432534456253052,0.3448614776134491,0.6432534456253052,0.0118851158767938,0.3329763617366553,0.50508656965103,0.752543284825515
