,Unnamed: 0.1,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,0,02-19-2025,These Were the 5 Top-Performing Stocks in the S&P 500 in January 2025,https://www.fool.com/investing/2025/02/19/top-performing-stocks-in-sp-500-january-2025/?source=iedfolrf0000001,The Motley Fool,neutral,0.7106767296791077,0.1115391552448272,0.7106767296791077,0.1777841448783874,-0.0662449896335602,0.28233326100744305,0.6411666305037216
1,1,1,02-11-2025,"[Latest] Global Aircraft Component Market Size/Share Worth USD 1,599.5 Billion by 2034 at a 5.28% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)",https://www.globenewswire.com/news-release/2025/02/11/3023924/0/en/Latest-Global-Aircraft-Component-Market-Size-Share-Worth-USD-1-599-5-Billion-by-2034-at-a-5-28-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentat.html,GlobeNewswire Inc.,neutral,0.874191164970398,0.1156767010688781,0.874191164970398,0.0101321907714009,0.1055445102974772,0.28233326100744305,0.6411666305037216
2,2,2,02-09-2025,What's a Fair Price to Buy General Electric (GE) Stock?,https://www.fool.com/investing/2025/02/09/whats-a-fair-price-to-buy-general-electric-ge-stoc/?source=iedfolrf0000001,The Motley Fool,neutral,0.9259191155433656,0.0318777337670326,0.9259191155433656,0.0422031246125698,-0.0103253908455372,0.28233326100744305,0.6411666305037216
3,3,3,02-06-2025,Connected Device Analytics Market to Surpass USD 173.96B by 2032 due to IoT and AI Integration Growth | Research by SNS Insider,https://www.globenewswire.com/news-release/2025/02/06/3022156/0/en/Connected-Device-Analytics-Market-to-Surpass-USD-173-96B-by-2032-due-to-IoT-and-AI-Integration-Growth-Research-by-SNS-Insider.html,GlobeNewswire Inc.,positive,0.9458704590797424,0.9458704590797424,0.0424078628420829,0.0117217078804969,0.9341487511992456,0.28233326100744305,0.6411666305037216
4,4,4,02-01-2025,Every GE Aerospace Investor Should Keep an Eye on This Number,https://www.fool.com/investing/2025/02/01/every-ge-aerospace-investor-should-keep-an-eye-on/?source=iedfolrf0000001,The Motley Fool,neutral,0.9274895787239076,0.0593616925179958,0.9274895787239076,0.0131487473845481,0.0462129451334477,0.28233326100744305,0.6411666305037216
5,5,5,02-01-2025,Where Will GE Aerospace Be in a Year?,https://www.fool.com/investing/2025/02/01/where-will-ge-aerospace-be-in-a-year/?source=iedfolrf0000001,The Motley Fool,neutral,0.9363248944282532,0.0333444960415363,0.9363248944282532,0.030330590903759,0.003013905137777304,0.28233326100744305,0.6411666305037216
6,6,6,01-28-2025,Global Aerospace Offers Valuable Insights on the Ever Evolving Engine Technologies in the Aviation Industry,https://www.globenewswire.com/news-release/2025/01/28/3016841/0/en/Global-Aerospace-Offers-Valuable-Insights-on-the-Ever-Evolving-Engine-Technologies-in-the-Aviation-Industry.html,GlobeNewswire Inc.,positive,0.5228594541549683,0.5228594541549683,0.4687691628932953,0.0083713373169302,0.5144881168380381,0.28233326100744305,0.6411666305037216
7,7,7,01-23-2025,Why GE Aerospace Stock Is Flying High Today,https://www.fool.com/investing/2025/01/23/why-ge-aerospace-stock-is-flying-high-today/?source=iedfolrf0000001,The Motley Fool,neutral,0.7186700105667114,0.2585138976573944,0.7186700105667114,0.022816065698862,0.23569783195853242,0.28233326100744305,0.6411666305037216
8,8,8,01-23-2025,GE Aerospace Crushes Q4 EPS Expectations,https://www.fool.com/data-news/2025/01/23/ge-aerospace-crushes-q4-eps-expectations/?source=iedfolrf0000001,The Motley Fool,negative,0.6166743040084839,0.1502317041158676,0.2330939918756485,0.6166743040084839,-0.46644259989261627,0.28233326100744305,0.6411666305037216
9,9,9,01-14-2025,Precision Parts Market Outlook & Forecast Report 2024-2029: Rise of Industry 4.0 and Smart Precision Manufacturing,https://www.globenewswire.com/news-release/2025/01/14/3009108/28124/en/Precision-Parts-Market-Outlook-Forecast-Report-2024-2029-Rise-of-Industry-4-0-and-Smart-Precision-Manufacturing.html,GlobeNewswire Inc.,positive,0.7047946453094482,0.7047946453094482,0.2854441106319427,0.0097612431272864,0.6950334021821618,0.28233326100744305,0.6411666305037216
10,10,10,01-10-2025,Q4 Earnings Season Preview: S&P 500 Stocks Poised for Strongest Growth in 3 Years,https://www.investing.com/analysis/q4-earnings-season-preview-sp-500-stocks-poised-for-strongest-growth-in-3-years-200656072,Investing.com,positive,0.8838345408439636,0.8838345408439636,0.0570929497480392,0.0590724535286426,0.824762087315321,0.28233326100744305,0.6411666305037216
11,11,11,01-09-2025,Here's Why GE Aerospace Stock Crushed the Market in 2024,https://www.fool.com/investing/2025/01/09/heres-why-ge-aerospace-stock-crushed-the-market-in/?source=iedfolrf0000001,The Motley Fool,negative,0.777970016002655,0.0294728744775056,0.1925571411848068,0.777970016002655,-0.7484971415251495,0.28233326100744305,0.6411666305037216
12,12,12,12-30-2024,"Aircraft Digital Cockpit Market Research: Control Panels, Displays, Sensors, Connectivity Solutions, Application, End-user - Global Forecasts 2025-2030",https://www.globenewswire.com/news-release/2024/12/30/3002545/28124/en/Aircraft-Digital-Cockpit-Market-Research-Control-Panels-Displays-Sensors-Connectivity-Solutions-Application-End-user-Global-Forecasts-2025-2030.html,GlobeNewswire Inc.,neutral,0.9364500641822816,0.0446803346276283,0.9364500641822816,0.018869673833251,0.0258106607943773,0.28233326100744305,0.6411666305037216
13,13,13,12-28-2024,"GE Aerospace: Buy, Sell, or Hold?",https://www.fool.com/investing/2024/12/28/ge-aerospace-buy-sell-or-hold/?source=iedfolrf0000001,The Motley Fool,neutral,0.931605875492096,0.0297876838594675,0.931605875492096,0.0386064201593399,-0.008818736299872398,0.28233326100744305,0.6411666305037216
14,14,14,12-16-2024,"Advanced Materials for Extreme Environments Market Report, with Profiles of Leading Companies, including General Electric Co., Saint-Gobain, 3M, Kyocera and Denka Company",https://www.globenewswire.com/news-release/2024/12/16/2997668/28124/en/Advanced-Materials-for-Extreme-Environments-Market-Report-with-Profiles-of-Leading-Companies-including-General-Electric-Co-Saint-Gobain-3M-Kyocera-and-Denka-Company.html,GlobeNewswire Inc.,neutral,0.8788126111030579,0.111945740878582,0.8788126111030579,0.0092416917905211,0.1027040490880609,0.28233326100744305,0.6411666305037216
15,15,15,12-16-2024,"Global Digital Mobile X-Ray Devices Market Set to Achieve USD 7,728.7 Million by 2034, Driven by Innovations in Medical Imaging Technology | Future Market Insights, Inc.",https://www.globenewswire.com/news-release/2024/12/16/2997217/0/en/Global-Digital-Mobile-X-Ray-Devices-Market-Set-to-Achieve-USD-7-728-7-Million-by-2034-Driven-by-Innovations-in-Medical-Imaging-Technology-Future-Market-Insights-Inc.html,GlobeNewswire Inc.,positive,0.9013434648513794,0.9013434648513794,0.0904895812273025,0.0081669436767697,0.8931765211746097,0.28233326100744305,0.6411666305037216
16,16,16,12-10-2024,"Electric Motor Rotor Shaft Market Set for 6.4% CAGR Growth, Projected to Hit USD 4.44 billion by 2034 | PMR",https://www.globenewswire.com/news-release/2024/12/10/2994227/0/en/Electric-Motor-Rotor-Shaft-Market-Set-for-6-4-CAGR-Growth-Projected-to-Hit-USD-4-44-billion-by-2034-PMR.html,GlobeNewswire Inc.,positive,0.7612683773040771,0.7612683773040771,0.2288370877504348,0.0098944986239075,0.7513738786801697,0.28233326100744305,0.6411666305037216
17,17,17,12-09-2024,"Latin America Artificial Lift Market Set to Expand at a Staggering 4.3% CAGR, Reaching USD 1,208.32 million by 2032 | PMR",https://www.globenewswire.com/news-release/2024/12/09/2993486/0/en/Latin-America-Artificial-Lift-Market-Set-to-Expand-at-a-Staggering-4-3-CAGR-Reaching-USD-1-208-32-million-by-2032-PMR.html,GlobeNewswire Inc.,positive,0.940717875957489,0.940717875957489,0.0460255555808544,0.0132565470412373,0.9274613289162517,0.28233326100744305,0.6411666305037216
18,18,18,12-07-2024,Where Will GE Aerospace Be in 4 Years?,https://www.fool.com/investing/2024/12/07/where-will-ge-aerospace-be-in-4-years/?source=iedfolrf0000001,The Motley Fool,neutral,0.9365463256835938,0.0316929705440998,0.9365463256835938,0.0317606702446937,-6.769970059389979e-05,0.28233326100744305,0.6411666305037216
19,19,19,12-06-2024,"Protective Relay Market Set to Expand at a Staggering 5.5% CAGR, Reaching $4.59 billion by 2034 | PMR",https://www.globenewswire.com/news-release/2024/12/06/2992847/0/en/Protective-Relay-Market-Set-to-Expand-at-a-Staggering-5-5-CAGR-Reaching-4-59-billion-by-2034-PMR.html,GlobeNewswire Inc.,positive,0.8963811993598938,0.8963811993598938,0.0948713645339012,0.0087474100291728,0.887633789330721,0.28233326100744305,0.6411666305037216
