,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,02-16-2025,Getting a Tax Refund? 3 High-Yield Stocks to Buy With Your Refund Check.,https://www.fool.com/investing/2025/02/16/getting-a-tax-refund-3-high-yield-stocks-to-buy-wi/?source=iedfolrf0000001,The Motley Fool,neutral,0.9157485365867616,0.0665084868669509,0.9157485365867616,0.0177429430186748,0.04876554384827611,0.11905096010304987,0.5595254800515249
1,1,02-08-2025,Want to Make More Passive Income? These 2 Dividend Stocks Offer Yields Above 6%.,https://www.fool.com/investing/2025/02/08/want-to-make-more-passive-income-these-2-dividend/?source=iedfolrf0000001,The Motley Fool,neutral,0.7784358263015747,0.2101071774959564,0.7784358263015747,0.011456967331469,0.1986502101644874,0.11905096010304987,0.5595254800515249
2,2,01-16-2025,Better Energy Stock: Brookfield Renewable vs. Clearway Energy,https://www.fool.com/investing/2025/01/16/better-energy-stock-brookfield-renewable-vs-clearw/?source=iedfolrf0000001,The Motley Fool,positive,0.8781833648681641,0.8781833648681641,0.1087363958358764,0.0130802392959594,0.8651031255722047,0.11905096010304987,0.5595254800515249
3,3,12-22-2024,3 Top High-Yield Stocks to Buy Before 2024 Is Over,https://www.fool.com/investing/2024/12/22/3-top-high-yield-stocks-to-buy-before-2024-is-over/?source=iedfolrf0000001,The Motley Fool,neutral,0.9251022338867188,0.0460233986377716,0.9251022338867188,0.0288743004202842,0.0171490982174874,0.11905096010304987,0.5595254800515249
4,4,11-27-2024,This Nearly 6%-Yielding Stock Is Adding More Power to Drive Dividend Growth in 2027 and Beyond,https://www.fool.com/investing/2024/11/27/this-nearly-6-yielding-stock-is-adding-more-power/?source=iedfolrf0000001,The Motley Fool,positive,0.9032909274101256,0.9032909274101256,0.0858922153711319,0.010816890746355,0.8924740366637707,0.11905096010304987,0.5595254800515249
5,5,11-25-2024,"Got $1,000? Here Are 3 Great Energy Stocks to Buy Right Now.",https://www.fool.com/investing/2024/11/25/got-1000-here-are-3-great-energy-stocks-to-buy-rig/?source=iedfolrf0000001,The Motley Fool,neutral,0.9166498184204102,0.0580309256911277,0.9166498184204102,0.0253192391246557,0.032711686566472,0.11905096010304987,0.5595254800515249
6,6,11-19-2024,"Got $5,000? These 5 High-Yield Dividend Stocks Could Turn It Into More than $330 of Annual Passive Income.",https://www.fool.com/investing/2024/11/19/got-5000-these-5-high-yield-dividend-stocks-could/?source=iedfolrf0000001,The Motley Fool,neutral,0.8415842652320862,0.1450317054986953,0.8415842652320862,0.013384043239057,0.13164766225963828,0.11905096010304987,0.5595254800515249
7,7,10-15-2024,"Community Choice Aggregators Celebrate New, Clean Capacity",https://www.globenewswire.com/news-release/2024/10/15/2963446/0/en/Community-Choice-Aggregators-Celebrate-New-Clean-Capacity.html,GlobeNewswire Inc.,neutral,0.8107619881629944,0.1792079657316208,0.8107619881629944,0.0100300079211592,0.16917795781046158,0.11905096010304987,0.5595254800515249
8,8,09-30-2024,3 High-Yield Dividend Stocks to Buy and Hold Forever,https://www.fool.com/investing/2024/09/30/3-high-yield-dividend-stocks-to-buy-and-hold-forev/?source=iedfolrf0000001,The Motley Fool,neutral,0.939512014389038,0.0424879305064678,0.939512014389038,0.0179999973624944,0.0244879331439734,0.11905096010304987,0.5595254800515249
9,9,09-19-2024,2 Ultra-High-Yield Dividend Stocks You Can Buy and Hold for a Decade,https://www.fool.com/investing/2024/09/19/2-ultra-high-yield-dividend-stocks-you-can-buy-and/?source=iedfolrf0000001,The Motley Fool,neutral,0.9289522767066956,0.0563737899065017,0.9289522767066956,0.0146740050986409,0.0416997848078608,0.11905096010304987,0.5595254800515249
10,10,08-24-2024,3 Phenomenal Dividend Stocks to Buy Before It's Too Late,https://www.fool.com/investing/2024/08/24/3-phenomenal-dividend-stocks-to-buy-before-its-too/?source=iedfolrf0000001,The Motley Fool,neutral,0.9019888043403624,0.0746968537569046,0.9019888043403624,0.0233143493533134,0.0513825044035912,0.11905096010304987,0.5595254800515249
11,11,07-29-2024,3 Underrated High-Yield Dividend Stocks to Buy Now and Hold Forever,https://www.fool.com/investing/2024/07/29/3-underrated-high-yield-dividend-stocks-to-buy-now/?source=iedfolrf0000001,The Motley Fool,neutral,0.9199185967445374,0.0612718500196933,0.9199185967445374,0.0188095979392528,0.042462252080440493,0.11905096010304987,0.5595254800515249
12,12,07-24-2024,Alternative Energy Likely to Flourish in Near Future: 5 Picks - Zacks Investment Research,https://www.zacks.com/stock/news/2307650/alternative-energy-likely-to-flourish-in-near-future-5-picks,Zacks Investment Research,neutral,0.778077244758606,0.2133377790451049,0.778077244758606,0.0085849966853857,0.2047527823597192,0.11905096010304987,0.5595254800515249
13,13,07-21-2024,3 No-Brainer Stocks to Buy and Hold for the Rest of 2024 and Beyond - The Motley Fool,https://www.fool.com/investing/2024/07/21/3-no-brainer-stocks-to-buy-and-hold-for-the-rest-o/,The Motley Fool,neutral,0.9219702482223512,0.0522249229252338,0.9219702482223512,0.0258048400282859,0.0264200828969479,0.11905096010304987,0.5595254800515249
14,14,07-06-2024,3 Energy Stocks to Buy and Hold for Great Long-Term Potential - The Motley Fool,https://www.fool.com/investing/2024/07/06/3-energy-stocks-to-buy-and-hold-for-great-long-ter/,The Motley Fool,neutral,0.7859700322151184,0.2038383781909942,0.7859700322151184,0.0101915542036294,0.1936468239873648,0.11905096010304987,0.5595254800515249
